EmployeeID,Date,TimeIn,TimeOut,HoursWorked
1,05/01/2024,08:00,17:00,8.00
2,05/01/2024,08:00,17:00,8.00
3,05/01/2024,08:00,17:00,8.00
4,05/01/2024,08:00,17:00,8.00
5,05/01/2024,08:00,17:00,8.00
6,05/01/2024,08:00,17:00,8.00
7,05/01/2024,08:00,17:00,8.00
8,05/01/2024,08:00,17:00,8.00
9,05/01/2024,08:00,17:00,8.00
10,05/01/2024,08:00,17:00,8.00
11,05/01/2024,08:00,18:33,9.55
12,05/01/2024,08:00,17:21,8.35
14,05/01/2024,08:00,17:00,8.00
15,05/01/2024,08:00,17:00,8.00
16,05/01/2024,08:00,17:00,8.00
17,05/01/2024,08:00,17:00,8.00
18,05/01/2024,08:00,17:39,8.65
19,05/01/2024,08:00,17:00,8.00
20,05/01/2024,08:00,17:00,8.00
21,05/01/2024,08:00,17:00,8.00
22,05/01/2024,08:00,17:00,8.00
23,05/01/2024,08:00,17:00,8.00
24,05/01/2024,08:00,17:00,8.00
25,05/01/2024,08:00,17:00,8.00
26,05/01/2024,08:00,17:00,8.00
27,05/01/2024,08:00,17:00,8.00
28,05/01/2024,08:00,17:00,8.00
1,05/02/2024,08:00,17:00,8.00
2,05/02/2024,08:00,17:00,8.00
3,05/02/2024,08:00,17:51,8.85
4,05/02/2024,08:00,17:00,8.00
5,05/02/2024,08:00,17:18,8.30
6,05/02/2024,08:00,17:00,8.00
7,05/02/2024,08:00,17:00,8.00
8,05/02/2024,08:00,17:00,8.00
9,05/02/2024,08:00,17:00,8.00
10,05/02/2024,08:00,17:00,8.00
11,05/02/2024,08:00,17:00,8.00
12,05/02/2024,08:00,17:00,8.00
13,05/02/2024,08:00,17:00,8.00
15,05/02/2024,08:00,17:00,8.00
16,05/02/2024,08:00,17:00,8.00
17,05/02/2024,08:00,17:00,8.00
18,05/02/2024,08:00,17:00,8.00
19,05/02/2024,08:00,17:57,8.95
21,05/02/2024,08:00,17:00,8.00
22,05/02/2024,08:00,17:00,8.00
23,05/02/2024,08:00,17:00,8.00
24,05/02/2024,08:00,17:00,8.00
26,05/02/2024,08:00,17:15,8.25
27,05/02/2024,08:00,17:00,8.00
28,05/02/2024,08:00,17:00,8.00
1,05/03/2024,08:00,17:00,8.00
2,05/03/2024,08:00,17:00,8.00
3,05/03/2024,08:00,17:00,8.00
4,05/03/2024,08:00,17:00,8.00
5,05/03/2024,08:00,17:00,8.00
6,05/03/2024,08:00,17:00,8.00
7,05/03/2024,08:00,17:00,8.00
8,05/03/2024,08:00,17:00,8.00
9,05/03/2024,08:00,17:00,8.00
10,05/03/2024,08:00,17:00,8.00
11,05/03/2024,08:00,17:00,8.00
12,05/03/2024,08:00,17:00,8.00
13,05/03/2024,08:00,18:13,9.22
14,05/03/2024,08:00,17:00,8.00
15,05/03/2024,08:00,17:00,8.00
17,05/03/2024,08:00,17:00,8.00
18,05/03/2024,08:00,17:00,8.00
19,05/03/2024,08:00,17:00,8.00
20,05/03/2024,08:00,17:00,8.00
21,05/03/2024,08:00,17:00,8.00
22,05/03/2024,08:00,17:00,8.00
23,05/03/2024,08:00,18:52,9.87
24,05/03/2024,08:00,17:00,8.00
25,05/03/2024,08:00,17:00,8.00
26,05/03/2024,08:00,17:00,8.00
27,05/03/2024,08:00,17:00,8.00
28,05/03/2024,08:00,17:00,8.00
1,05/04/2024,08:00,17:00,8.00
2,05/04/2024,08:00,17:00,8.00
3,05/04/2024,08:00,17:00,8.00
4,05/04/2024,08:00,17:00,8.00
5,05/04/2024,08:00,17:00,8.00
6,05/04/2024,08:00,17:00,8.00
7,05/04/2024,08:00,17:00,8.00
8,05/04/2024,08:00,17:00,8.00
9,05/04/2024,08:00,17:00,8.00
10,05/04/2024,08:00,17:00,8.00
11,05/04/2024,08:00,17:00,8.00
12,05/04/2024,08:00,17:00,8.00
13,05/04/2024,08:00,17:00,8.00
14,05/04/2024,08:00,17:00,8.00
15,05/04/2024,08:00,17:00,8.00
16,05/04/2024,08:00,17:00,8.00
17,05/04/2024,08:00,17:00,8.00
18,05/04/2024,08:00,17:00,8.00
20,05/04/2024,08:00,17:00,8.00
21,05/04/2024,08:00,17:00,8.00
22,05/04/2024,08:00,17:00,8.00
24,05/04/2024,08:00,17:00,8.00
25,05/04/2024,08:00,17:00,8.00
