EmployeeID,Date,TimeIn,TimeOut,HoursWorked
1,03/01/2024,08:00,17:00,8.00
2,03/01/2024,08:00,17:00,8.00
3,03/01/2024,08:00,17:00,8.00
4,03/01/2024,08:00,08:00,0.00
5,03/01/2024,08:00,08:00,0.00
6,03/01/2024,08:00,17:00,8.00
7,03/01/2024,08:00,08:00,0.00
8,03/01/2024,08:00,17:00,8.00
9,03/01/2024,00:00,00:00,0.00
10,03/01/2024,08:00,17:00,8.00
11,03/01/2024,08:00,17:00,8.00
12,03/01/2024,08:00,17:00,8.00
13,03/01/2024,08:00,18:50,9.83
14,03/01/2024,08:00,17:00,8.00
15,03/01/2024,08:00,17:00,8.00
16,03/01/2024,08:00,17:00,8.00
17,03/01/2024,08:00,17:00,8.00
18,03/01/2024,00:00,00:00,0.00
19,03/01/2024,08:00,17:00,8.00
20,03/01/2024,08:00,17:00,8.00
21,03/01/2024,00:00,00:00,0.00
22,03/01/2024,00:00,00:00,0.00
23,03/01/2024,08:00,08:00,0.00
24,03/01/2024,08:00,18:36,9.60
25,03/01/2024,08:00,17:00,8.00
26,03/01/2024,08:00,17:00,8.00
27,03/01/2024,08:00,17:00,8.00
28,03/01/2024,08:00,17:14,8.23
1,03/02/2024,08:00,17:00,8.00
2,03/02/2024,00:00,00:00,0.00
3,03/02/2024,08:00,17:00,8.00
4,03/02/2024,08:00,17:00,8.00
5,03/02/2024,08:00,17:00,8.00
6,03/02/2024,08:00,17:00,8.00
7,03/02/2024,08:00,17:00,8.00
8,03/02/2024,08:00,17:00,8.00
9,03/02/2024,08:00,17:00,8.00
10,03/02/2024,08:00,17:00,8.00
11,03/02/2024,08:00,17:10,8.17
12,03/02/2024,08:00,17:00,8.00
13,03/02/2024,08:00,17:00,8.00
14,03/02/2024,08:00,17:33,8.55
15,03/02/2024,00:00,00:00,0.00
16,03/02/2024,08:00,17:00,8.00
17,03/02/2024,08:00,17:35,8.58
18,03/02/2024,08:00,17:00,8.00
19,03/02/2024,00:00,00:00,0.00
20,03/02/2024,08:00,18:49,9.82
21,03/02/2024,08:00,17:00,8.00
22,03/02/2024,00:00,00:00,0.00
23,03/02/2024,08:00,17:00,8.00
24,03/02/2024,08:00,17:00,8.00
25,03/02/2024,08:00,17:00,8.00
26,03/02/2024,08:00,17:00,8.00
27,03/02/2024,08:00,17:00,8.00
28,03/02/2024,08:00,17:00,8.00
1,03/03/2024,08:00,17:00,8.00
2,03/03/2024,08:00,17:00,8.00
3,03/03/2024,08:00,17:00,8.00
4,03/03/2024,08:00,17:00,8.00
5,03/03/2024,08:00,17:00,8.00
6,03/03/2024,08:00,17:00,8.00
7,03/03/2024,00:00,00:00,0.00
8,03/03/2024,08:00,08:00,0.00
9,03/03/2024,08:00,17:00,8.00
10,03/03/2024,08:00,17:00,8.00
11,03/03/2024,08:00,17:00,8.00
12,03/03/2024,08:00,08:00,0.00
13,03/03/2024,00:00,00:00,0.00
14,03/03/2024,08:00,17:00,8.00
15,03/03/2024,08:00,17:00,8.00
16,03/03/2024,08:00,17:00,8.00
17,03/03/2024,08:00,17:00,8.00
18,03/03/2024,08:00,17:00,8.00
19,03/03/2024,08:00,17:00,8.00
20,03/03/2024,08:00,18:00,9.00
21,03/03/2024,08:00,18:12,9.20
22,03/03/2024,08:00,17:00,8.00
23,03/03/2024,08:00,17:00,8.00
24,03/03/2024,08:00,17:00,8.00
25,03/03/2024,08:00,17:00,8.00
26,03/03/2024,08:00,17:00,8.00
27,03/03/2024,08:00,08:00,0.00
28,03/03/2024,08:00,17:00,8.00
